sno,url,claim_entered,sourced_bills
0,https://www.politifact.com/factchecks/2022/jan/21/liz-mathis/hinson-joined-letter-iowa-lock-and-dam-money-she-d/,Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible,"['117 HR 3684', '117 HR 5305', '117 HR 5376']"
1,https://www.politifact.com/factchecks/2021/dec/17/abby-finkenauer/context-needed-grassley-comment-about-medicare-vot/,Chuck Grassley was voting to slash Medicare when voting against the debt ceiling bill,"['117 S 610', '117 S 1844', '117 HR 5099', '117 S 935', '112 HCONRES 112', '112 SCONRES 44', '112 SCONRES 44', '113 SCONRES 8', '117 HR 1868']"
2,https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Ashley Hinson voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']"
3,https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Mariannette Miller-Meeks voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']"
4,https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Budd voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']"
5,https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Marl Walker voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']"
6,https://www.politifact.com/factchecks/2021/jun/25/national-republican-senatorial-committee/republicans-mislead-welfare-attack-raphael-warnock/,Sen. Raphael Warnock voted for welfare for politicians plan,"['117 S 2093', '117 S 1']"
7,https://www.politifact.com/factchecks/2020/oct/29/jill-schupp/did-ann-wagner-vote-repeal-pre-existing-conditions/,U.S. Rep. Ann Wagner voted five times against protecting pre-existing conditions,"['116 HRES 5', '116 HR 986', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27']"
8,https://www.politifact.com/factchecks/2020/oct/28/jon-hoadley/upton-voted-dozen-times-support-repealing-affordab/,Upton voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions,"['111 HR 3590', '112 HCONRES 34', '112 HCONRES 112', '113 HCONRES 25', '113 HCONRES 96', '114 HCONRES 27', '114 SCONRES 11', '116 HRES 271']"
9,https://www.politifact.com/factchecks/2020/oct/20/nick-freitas/did-spanberger-other-house-democrats-vote-use-publ/,Abigail Spanberger voted to spend public funds on their political campaigns,['116 HR 1']
