sno,claim,url,claim_entered,sourced_bills,stella_en_1.5B_v5_cossim,stella_en_400M_v5_cossim,gte-Qwen2-1.5B-instruct_cossim,gte-large-en-v1.5_cossim,stella_en_1.5B_v5_dotscore,stella_en_400M_v5_dotscore,gte-Qwen2-1.5B-instruct_dotscore,gte-large-en-v1.5_dotscore,part1_claim,part1_agent,part1_issue
0,âAshley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible. Once again sheâs taking credit for work she didnât do.â,https://www.politifact.com/factchecks/2022/jan/21/liz-mathis/hinson-joined-letter-iowa-lock-and-dam-money-she-d/,Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible,"['117 HR 3684', '117 HR 5305', '117 HR 5376']","['117 HR 3684', '117 S 1301', '117 HR 5315', '117 HR 5689', '117 SJRES 33', '117 HRES 508', '117 HR 5323', '117 HR 5434', '117 HR 1319', '117 HR 8294']","['117 HR 3684', '117 S 1301', '117 HR 5315', '117 HR 5689', '117 HR 5677', '117 SJRES 33', '117 HR 7693', '117 HRES 508', '117 HR 5323', '117 HR 7776']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HR 256', '117 HRES 198']","['117 HR 5677', '117 S 1301', '117 HR 3684', '117 HR 7693', '117 SJRES 33', '117 HR 256', '117 HRES 508', '117 HR 5290', '117 HR 5315', '117 HR 1319']",-,-,Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible,H001091,28@110
1,Chuck Grassley was âvoting to slash Medicareâ when voting against the debt ceiling bill.,https://www.politifact.com/factchecks/2021/dec/17/abby-finkenauer/context-needed-grassley-comment-about-medicare-vot/,Chuck Grassley was voting to slash Medicare when voting against the debt ceiling bill,"['117 S 610', '117 S 1844', '117 HR 5099', '117 S 935', '112 HCONRES 112', '112 SCONRES 44', '112 SCONRES 44', '113 SCONRES 8', '117 HR 1868']","['110 S 3101', '108 HR 1', '101 S 1726', '117 HR 1868', '117 S 610', '110 HR 6331', '111 SJRES 39', '108 S 1', '105 HR 2015', '117 HR 5376']","['110 S 3101', '101 S 1726', '117 S 610', '117 HR 1868', '110 HR 6331', '111 SJRES 39', '108 HR 1', '111 HR 4872', '108 S 1', '104 HR 2586']",-,-,"['117 SCONRES 43', '117 S 5355', '102 HJRES 374', '112 SJRES 25', '112 HJRES 98', '106 HJRES 127', '106 HJRES 126', '106 HJRES 110', '106 HJRES 111', '106 HJRES 115']","['110 S 3101', '101 S 1726', '117 S 5355', '117 SCONRES 43', '117 S 610', '112 HJRES 98', '112 SJRES 25', '107 S 2578', '110 HR 6331', '117 HR 1868']",-,-,Chuck Grassley was voting to slash Medicare when voting against the debt ceiling bill,G000386,26@43
2,"Ashley Hinsonâs and Mariannette Miller-Meeksâ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Ashley Hinson voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']","['117 HR 3193', '117 HR 3684', '117 HR 1218', '117 HR 5315', '117 S 1617', '117 S 3451', '117 HR 4045', '117 HR 4032', '117 S 2796', '117 HR 1319']","['117 HR 3193', '117 S 1617', '117 S 2796', '117 HR 1218', '117 HR 3684', '117 HR 3344', '117 HR 7211', '117 HR 4032', '117 HR 5315', '117 HR 1934']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HR 256', '117 HRES 147']","['117 HR 3193', '117 HR 5677', '117 S 5230', '117 HRES 1512', '117 HRES 1300', '117 HR 7174', '117 HR 6878', '117 HR 8987', '117 HR 1218', '117 S 2796']",-,-,Ashley Hinson voted no on the infrastructure bill which led to denying rural Iowa broadband internet,H001091,23@100
3,"Ashley Hinsonâs and Mariannette Miller-Meeksâ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Mariannette Miller-Meeks voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']","['117 HR 3193', '117 HR 3684', '117 HR 1218', '117 HR 5315', '117 S 1617', '117 S 3451', '117 HR 4045', '117 HR 4032', '117 S 2796', '117 HR 1319']","['117 HR 3193', '117 S 1617', '117 S 2796', '117 HR 1218', '117 HR 3684', '117 HR 3344', '117 HR 7211', '117 HR 4032', '117 HR 5315', '117 HR 1934']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HR 256', '117 HRES 147']","['117 HR 3193', '117 HR 5677', '117 S 5230', '117 HRES 1512', '117 HRES 1300', '117 HR 7174', '117 HR 6878', '117 HR 8987', '117 HR 1218', '117 S 2796']",-,-,Mariannette Miller-Meeks voted no on the infrastructure bill which led to denying rural Iowa broadband internet,M001215,34@111
4,"Says he worked to pass the 2018 farm bill âthat helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.â",https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Budd voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']",-,-,-,-,-,-,-,-,"Budd voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults",no_agent,-
5,"Says he worked to pass the 2018 farm bill âthat helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.â",https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Marl Walker voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']",-,-,-,-,-,-,-,-,"Marl Walker voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults",no_agent,-
6,Sen. Raphael Warnock âvoted for welfare for politicians plan. Up to $25 million of government money for Warnockâs own political campaign.â,https://www.politifact.com/factchecks/2021/jun/25/national-republican-senatorial-committee/republicans-mislead-welfare-attack-raphael-warnock/,Sen. Raphael Warnock voted for welfare for politicians plan,"['117 S 2093', '117 S 1']","['117 SCONRES 43', '117 S 5355', '117 HR 1319', '117 S 4822', '117 HR 3237', '117 S 2093', '117 S 1', '117 S 1301', '117 HR 5376', '117 S 610']","['117 SCONRES 43', '117 S 5355', '117 S 1301', '117 HR 3237', '117 S 2093', '117 S 1', '117 HR 1319', '117 SJRES 33', '117 S 4822', '117 HR 6833']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 33', '117 SJRES 60', '117 SJRES 35', '117 SJRES 39', '117 HR 1319', '117 SRES 47']","['117 SCONRES 43', '117 S 5355', '117 S 1301', '117 SJRES 33', '117 HR 1319', '117 HR 3237', '117 HR 6833', '117 S 1', '117 S 2093', '117 S 4822']",-,-,Sen. Raphael Warnock voted for welfare for politicians plan,W000790,31@54
7,"Says U.S. Rep. Ann Wagner âvoted five times against protecting pre-existing conditions.""",https://www.politifact.com/factchecks/2020/oct/29/jill-schupp/did-ann-wagner-vote-repeal-pre-existing-conditions/,U.S. Rep. Ann Wagner voted five times against protecting pre-existing conditions,"['116 HRES 5', '116 HR 986', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27']","['117 HR 1916', '117 HRES 950', '117 HRES 1300', '117 HR 6878', '117 S 5230', '117 HRES 1512', '117 HR 8987', '117 HR 7174', '117 HR 1667', '117 HR 1868']","['117 HR 1916', '117 HRES 950', '117 HR 5551', '117 HR 1667', '117 HR 2499', '117 S 1511', '117 HR 239', '117 HRES 1300', '117 HRES 1512', '117 S 5230']",-,-,"['117 HRES 1300', '117 HR 8987', '117 HRES 1512', '117 S 5230', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HRES 1302', '117 HRES 950']","['117 HRES 1300', '117 HR 8987', '117 HRES 1512', '117 S 5230', '117 HR 6878', '117 HR 7174', '117 HRES 950', '117 HR 1916', '117 HR 5551', '117 HR 5677']",-,-,U.S. Rep. Ann Wagner voted five times against protecting pre-existing conditions,W000812,46@80
8,Upton âvoted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditionsâ,https://www.politifact.com/factchecks/2020/oct/28/jon-hoadley/upton-voted-dozen-times-support-repealing-affordab/,Upton voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions,"['111 HR 3590', '112 HCONRES 34', '112 HCONRES 112', '113 HCONRES 25', '113 HCONRES 96', '114 HCONRES 27', '114 SCONRES 11', '116 HRES 271']",-,-,-,-,-,-,-,-,Upton voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions,no_agent,-
9,Abigail Spanberger and other Democrats âvoted to spend public funds on their political campaigns; up to $5 million...â,https://www.politifact.com/factchecks/2020/oct/20/nick-freitas/did-spanberger-other-house-democrats-vote-use-publ/,Abigail Spanberger voted to spend public funds on their political campaigns,['116 HR 1'],"['117 S 1301', '117 HRES 852', '117 SJRES 33', '117 HR 5314', '117 HR 22', '117 S 272', '117 HRES 1396', '117 HRES 508', '117 HR 6448', '117 HR 1']","['117 S 1301', '117 SJRES 33', '117 HRES 852', '117 S 272', '117 HR 22', '117 HRES 508', '117 HR 5119', '117 HR 6448', '117 HR 3743', '117 HR 1']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5677', '117 HR 256', '117 HR 5290', '117 HRES 852']","['117 S 1301', '117 SJRES 33', '117 HRES 852', '117 HRES 1300', '117 HRES 1512', '117 HR 6878', '117 S 5230', '117 HR 7174', '117 HR 8987', '117 HRES 508']",-,-,Abigail Spanberger voted to spend public funds on their political campaigns,S001209,25@75
