sno,claim,url,claim_entered,sourced_bills,msmarco-MiniLM-L-6-v3,msmarco-MiniLM-L-12-v3,msmarco-distilbert-base-v3,msmarco-distilbert-base-v4,msmarco-roberta-base-v3,msmarco-distilbert-base-dot-prod-v3,msmarco-roberta-base-ance-firstp,msmarco-distilbert-base-tas-b,bm25Okapi,bm25L,bm25Plus
0,âAshley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible. Once again sheâs taking credit for work she didnât do.â,https://www.politifact.com/factchecks/2022/jan/21/liz-mathis/hinson-joined-letter-iowa-lock-and-dam-money-she-d/,Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible,"['117 HR 3684', '117 HR 5305', '117 HR 5376']","['117 HR 5315', '117 S 3451', '117 S 4104', '117 HR 5434', '117 HR 3684', '117 HR 7691', '117 HRES 508', '117 HR 8294', '117 HR 3616', '117 HR 5323']","['117 HR 8294', '117 HR 5315', '117 HR 3237', '117 HRES 508', '117 HR 5434', '117 HR 5323', '117 HR 6865', '117 HR 7776', '117 HR 6089', '117 HR 3616']","['117 S 3451', '117 HR 5315', '117 HR 5763', '117 HR 6270', '117 HR 5434', '117 HR 7670', '117 S 2796', '117 HR 3193', '117 HR 1374', '117 HR 4028']","['117 HR 5434', '117 HR 6270', '117 HR 5763', '117 S 3451', '117 HR 3193', '117 HR 5315', '117 HR 1374', '117 S 1301', '117 HR 1339', '117 HR 3743']","['117 HR 5315', '117 HR 3684', '117 HR 5689', '117 S 2520', '117 HRES 508', '117 HR 6270', '117 HR 3193', '117 HR 7777', '117 HR 5763', '117 HR 5673']","['117 S 3451', '117 HR 5689', '117 HR 6270', '117 HR 5434', '117 HR 3193', '117 HR 5118', '117 S 2796', '117 HR 5315', '117 HR 6386', '117 HR 3372']","['117 S 3846', '117 HR 6868', '117 HR 5434', '117 S 4104', '117 HR 5315', '117 HR 7309', '117 HRES 1377', '117 HRES 508', '117 HR 5001', '117 HR 3807']","['117 HRES 1499', '117 HR 3684', '117 HR 5315', '117 HR 7776', '117 HR 1490', '117 HRES 380', '117 HR 6617', '117 HRES 508', '117 HR 5118', '117 HRES 601']","['116 HR 4659', '116 HR 4659', '114 HCONRES 66', '114 HCONRES 66', '113 SRES 139', '116 HRES 1066', '116 SRES 661', '117 SRES 348', '117 HRES 552', '117 S 3450']","['113 HR 4304', '113 S 696', '114 HR 5394', '108 S 1050', '108 S 14', '109 HR 4', '113 HR 4034', '112 HR 4271', '113 HR 15', '114 S 2902']","['116 HR 4659', '116 HR 4659', '117 S 3450', '116 HRES 1066', '116 SRES 661', '113 SRES 139', '114 HCONRES 66', '114 HCONRES 66', '117 SRES 348', '117 HRES 552']"
1,Chuck Grassley was âvoting to slash Medicareâ when voting against the debt ceiling bill.,https://www.politifact.com/factchecks/2021/dec/17/abby-finkenauer/context-needed-grassley-comment-about-medicare-vot/,Chuck Grassley was voting to slash Medicare when voting against the debt ceiling bill,"['117 S 610', '117 S 1844', '117 HR 5099', '117 S 935', '112 HCONRES 112', '112 SCONRES 44', '112 SCONRES 44', '113 SCONRES 8', '117 HR 1868']","['112 S 1931', '117 HR 1868', '101 S 1726', '117 S 610', '110 S 3', '112 HR 2560', '105 SJRES 1', '111 S 1776', '106 HR 1259', '112 S 1917']","['117 S 610', '117 HR 1868', '112 S 1931', '104 S 1372', '110 S 3', '106 HR 1259', '101 S 1726', '112 HR 2560', '112 SJRES 24', '111 S 1776']","['101 S 1726', '111 S 1776', '110 S 3101', '110 S 3', '117 HR 1868', '117 SJRES 32', '117 S 610', '117 HR 1799', '111 SJRES 39', '112 S 1931']","['111 S 1776', '101 S 1726', '117 HR 1799', '112 S 1931', '117 HR 1868', '104 S 1372', '106 HR 1259', '117 S 610', '101 S 3167', '110 S 3101']","['110 S 3', '117 HR 1868', '117 S 610', '101 S 1726', '110 HR 3963', '111 SJRES 39', '111 HR 2', '110 HR 976', '102 SJRES 186', '102 SJRES 137']","['110 S 3101', '101 S 1726', '111 S 1776', '117 HR 1799', '110 S 3', '112 S 1931', '117 HR 1868', '117 S 610', '104 S 1372', '117 SJRES 32']","['101 S 1726', '117 HR 1868', '117 S 610', '117 HR 3076', '112 S 1789', '112 S 1931', '109 S 2320', '117 SJRES 32', '106 HR 1259', '111 SJRES 39']","['101 S 1726', '111 S 1776', '110 S 3101', '110 S 3', '112 S 1931', '117 HR 1868', '111 S 3153', '117 S 610', '108 S 1', '107 S 1052']","['117 SRES 7', '116 SRES 3', '116 SRES 5', '116 SRES 4', '117 S 4', '117 HR 4', '116 HR 1799', '116 HR 4', '114 HR 6073', '113 S 2399']","['112 HR 6645', '114 HR 6073', '117 S 4', '110 S 1487', '108 S 1050', '113 S 2399', '116 HR 1799', '115 HR 1907', '112 HR 5799', '112 S 3608']","['117 SRES 7', '116 SRES 3', '116 SRES 5', '116 SRES 4', '117 S 4', '117 HR 4', '117 HR 1071', '118 S 1677', '116 HR 1799', '116 HR 4']"
2,"Ashley Hinsonâs and Mariannette Miller-Meeksâ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Ashley Hinson voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']","['117 HR 5315', '117 HR 6270', '117 HR 3193', '117 S 3308', '117 HR 5434', '117 S 4104', '117 HR 3807', '117 HR 6868', '117 S 3451', '117 S 3168']","['117 HR 5315', '117 HR 6270', '117 HR 5434', '117 HR 3193', '117 HR 2088', '117 S 3308', '117 HR 6865', '117 S 3451', '117 HR 3684', '117 HR 1218']","['117 HR 4032', '117 HR 3193', '117 S 3451', '117 HR 6531', '117 HR 7670', '117 HR 4028', '117 HRES 1499', '117 S 2796', '117 HRES 1232', '117 HR 1490']","['117 HR 3193', '117 HR 4032', '117 S 3451', '117 HR 4055', '117 HR 4028', '117 HR 6270', '117 HR 5434', '117 HR 2501', '117 HR 5324', '117 HR 2685']","['117 HR 3193', '117 S 1617', '117 S 3451', '117 S 2520', '117 HR 5315', '117 HR 7211', '117 HR 4028', '117 HR 7777', '117 HR 3684', '117 HR 4521']","['117 HR 3193', '117 S 3451', '117 HR 4032', '117 HR 1218', '117 HR 847', '117 HR 2225', '117 S 1095', '117 S 848', '117 HR 5324', '117 S 2796']","['117 HR 3193', '117 HR 5315', '117 S 4104', '117 S 144', '117 HR 4352', '117 HR 5221', '117 HR 1619', '117 S 2796', '117 HR 3807', '117 HRES 1499']","['117 HR 3193', '117 S 3451', '117 HR 4032', '117 HR 4521', '117 HR 6270', '117 HR 1490', '117 HR 5315', '117 HR 3372', '117 HRES 1499', '117 HR 3684']","['115 HR 6073', '115 HR 6073', '117 HR 4374', '116 HR 8368', '115 HR 4817', '117 S 1676', '116 HR 7447', '116 HR 7447', '116 S 2866', '109 HR 1479']","['108 S 1050', '113 HR 4304', '109 HR 4', '108 S 14', '110 HR 2174', '111 S 2880', '111 HR 4545', '110 HR 2174', '116 HR 7205', '117 HR 4374']","['117 HR 4374', '115 HR 6073', '115 HR 6073', '117 S 1676', '116 HR 8368', '115 HR 4817', '116 S 3094', '116 S 2866', '117 HR 4383', '118 HR 922']"
3,"Ashley Hinsonâs and Mariannette Miller-Meeksâ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",https://www.politifact.com/factchecks/2021/nov/22/dave-loebsack/tweet-claiming-hinson-and-miller-meeks-denied-iowa/,Mariannette Miller-Meeks voted no on the infrastructure bill which led to denying rural Iowa broadband internet,"['117 HR 3684', '117 HR 3684']","['117 HR 5315', '117 HR 6270', '117 HR 3193', '117 S 3308', '117 HR 5434', '117 S 4104', '117 HR 3807', '117 HR 6868', '117 S 3451', '117 S 3168']","['117 HR 5315', '117 HR 6270', '117 HR 5434', '117 HR 3193', '117 HR 2088', '117 S 3308', '117 HR 6865', '117 S 3451', '117 HR 3684', '117 HR 1218']","['117 HR 4032', '117 HR 3193', '117 S 3451', '117 HR 6531', '117 HR 7670', '117 HR 4028', '117 HRES 1499', '117 S 2796', '117 HRES 1232', '117 HR 1490']","['117 HR 3193', '117 HR 4032', '117 S 3451', '117 HR 4055', '117 HR 4028', '117 HR 6270', '117 HR 5434', '117 HR 2501', '117 HR 5324', '117 HR 2685']","['117 HR 3193', '117 S 1617', '117 S 3451', '117 S 2520', '117 HR 5315', '117 HR 7211', '117 HR 4028', '117 HR 7777', '117 HR 3684', '117 HR 4521']","['117 HR 3193', '117 S 3451', '117 HR 4032', '117 HR 1218', '117 HR 847', '117 HR 2225', '117 S 1095', '117 S 848', '117 HR 5324', '117 S 2796']","['117 HR 3193', '117 HR 5315', '117 S 4104', '117 S 144', '117 HR 4352', '117 HR 5221', '117 HR 1619', '117 S 2796', '117 HR 3807', '117 HRES 1499']","['117 HR 3193', '117 S 3451', '117 HR 4032', '117 HR 4521', '117 HR 6270', '117 HR 1490', '117 HR 5315', '117 HR 3372', '117 HRES 1499', '117 HR 3684']","['115 HR 6073', '115 HR 6073', '117 HR 4374', '116 HR 8368', '115 HR 4817', '117 S 1676', '116 HR 7447', '116 HR 7447', '116 S 2866', '109 HR 1479']","['108 S 1050', '113 HR 4304', '109 HR 4', '108 S 14', '110 HR 2174', '111 HR 4545', '111 S 2880', '110 HR 2174', '116 HR 7205', '117 HR 4374']","['117 HR 4374', '115 HR 6073', '115 HR 6073', '117 S 1676', '116 HR 8368', '115 HR 4817', '116 S 3094', '116 S 2866', '118 HR 922', '117 HR 4383']"
4,"Says he worked to pass the 2018 farm bill âthat helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.â",https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Budd voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']",no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,"['117 HR 8014', '118 S 39', '116 HR 5349', '108 HR 4696', '108 HR 4696', '108 HR 4696', '110 HR 3044', '116 HR 2809', '117 HR 1753', '118 HR 1551']","['108 S 1050', '113 HR 4304', '113 HR 15', '108 S 14', '113 S 696', '109 HR 4', '112 HR 3630', '113 HR 2498', '113 S 744', '113 S 954']","['117 HR 8014', '116 HR 5349', '116 HR 2809', '117 HR 1753', '118 S 39', '115 S 2959', '109 HR 4897', '114 HR 4849', '115 HR 3667', '110 HR 3044']"
5,"Says he worked to pass the 2018 farm bill âthat helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.â",https://www.politifact.com/factchecks/2021/aug/03/mark-walker/trumps-farm-bill-food-stamps-and-north-carolinas-g/,"Marl Walker voted to pass the 2018 farm bill that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults","['115 HR 2', '115 HR 2']",no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,"['117 HR 8014', '118 S 39', '116 HR 5349', '108 HR 4696', '108 HR 4696', '108 HR 4696', '110 HR 3044', '116 HR 2809', '117 HR 1753', '118 HR 1551']","['108 S 1050', '113 HR 4304', '113 HR 15', '108 S 14', '113 S 696', '109 HR 4', '112 HR 3630', '113 HR 2498', '113 S 744', '113 S 954']","['117 HR 8014', '116 HR 5349', '116 HR 2809', '117 HR 1753', '118 S 39', '115 S 2959', '109 HR 4897', '114 HR 4849', '115 HR 3667', '110 HR 3044']"
6,Sen. Raphael Warnock âvoted for welfare for politicians plan. Up to $25 million of government money for Warnockâs own political campaign.â,https://www.politifact.com/factchecks/2021/jun/25/national-republican-senatorial-committee/republicans-mislead-welfare-attack-raphael-warnock/,Sen. Raphael Warnock voted for welfare for politicians plan,"['117 S 2093', '117 S 1']","['117 S 4822', '117 HR 6119', '117 HR 7691', '117 HR 5305', '117 HR 3237', '117 S 2747', '117 S 4', '117 S 1301', '117 SCONRES 41', '117 SCONRES 14']","['117 S 4822', '117 S 4', '117 S 2747', '117 HR 1652', '117 S 1301', '117 HR 6119', '117 HR 7108', '117 HR 7691', '117 HR 3237', '117 HR 5305']","['117 S 2747', '117 S 4822', '117 HR 5746', '117 S 2093', '117 S 1', '117 SCONRES 5', '117 HR 3076', '117 SCONRES 14', '117 HR 1799', '117 HR 6617']","['117 S 2093', '117 S 1', '117 S 2747', '117 HR 5746', '117 SCONRES 5', '117 S 4822', '117 SCONRES 14', '117 HR 1799', '117 HR 1319', '117 HR 5376']","['117 S 4822', '117 HR 1799', '117 HR 3076', '117 S 2747', '117 S 4', '117 HR 6119', '117 HR 7691', '117 HR 6617', '117 S 1251', '117 HR 3237']","['117 S 4822', '117 HR 6119', '117 HR 5746', '117 HR 6617', '117 S 914', '117 S 2747', '117 SCONRES 5', '117 HR 2471', '117 S 2093', '117 S 1']","['117 S 4822', '117 S 2747', '117 HR 5746', '117 S 4', '117 S 2093', '117 S 1', '117 HR 6119', '117 HR 5305', '117 S 4008', '117 S 610']","['117 HR 5746', '117 S 2747', '117 SCONRES 14', '117 S 2093', '117 S 1', '117 HR 1319', '117 SCONRES 5', '117 HR 5376', '117 S 2938', '117 HR 4350']","['110 HR 5466', '110 HRES 618', '116 HR 5755', '109 HR 3576', '108 HR 2437', '109 HR 5640', '108 SRES 261', '117 HR 6449', '117 HR 8954', '109 S 2164']","['109 HR 4', '108 S 1050', '112 HR 3630', '113 HR 15', '113 S 1979', '113 HR 5828', '108 S 14', '113 HR 4304', '112 HR 7', '113 HR 2117']","['108 SRES 261', '110 HRES 618', '116 HR 5755', '117 HR 8954', '117 HR 4044', '115 S 1964', '110 HR 5466', '109 HR 3576', '115 HR 4526', '117 HRES 945']"
7,"Says U.S. Rep. Ann Wagner âvoted five times against protecting pre-existing conditions.""",https://www.politifact.com/factchecks/2020/oct/29/jill-schupp/did-ann-wagner-vote-repeal-pre-existing-conditions/,U.S. Rep. Ann Wagner voted five times against protecting pre-existing conditions,"['116 HRES 5', '116 HR 986', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27']","['117 S 957', '117 HR 239', '117 HR 1374', '117 HR 5274', '117 HR 5914', '117 HR 6943', '117 HR 8466', '117 HR 8373', '117 HR 3992', '117 S 1466']","['117 HR 1573', '117 S 957', '117 HR 6943', '117 HRES 1464', '117 HR 4', '117 HR 4489', '117 HR 239', '117 HR 5673', '117 HR 2499', '117 S 3373']","['117 S 231', '117 HR 2467', '117 HR 5673', '117 HR 8373', '117 HR 5738', '117 HRES 1464', '117 HR 8296', '117 HR 3755', '117 S 958', '117 HR 7289']","['117 HR 1667', '117 HR 2074', '117 HR 3110', '117 HR 7289', '117 HR 5673', '117 HR 1916', '117 HR 3992', '117 S 796', '117 HRES 1464', '117 HR 8373']","['117 S 231', '117 HR 2467', '117 HR 3110', '117 HR 1916', '117 HR 8373', '117 HR 7289', '117 HR 5738', '117 HR 3630', '117 HR 5551', '117 HR 485']","['117 HR 3110', '117 HR 7335', '117 HR 1916', '117 S 1617', '117 HR 8373', '117 HR 5796', '117 HR 6961', '117 HR 5774', '117 HR 2467', '117 S 1942']","['117 HR 1916', '117 S 231', '117 HR 2499', '117 S 1511', '117 HR 3630', '117 HR 8373', '117 HR 654', '117 HR 2467', '117 HR 4040', '117 HR 7791']","['117 HR 2499', '117 HR 3755', '117 HR 8296', '117 HR 5324', '117 HRES 1224', '117 HR 8373', '117 HR 8466', '117 HR 1065', '117 HR 5673', '117 S 3373']","['115 S 3388', '115 HR 6898', '117 HR 599', '117 HR 599', '116 S 4506', '117 SRES 26', '117 SRES 26', '113 HR 4496', '115 HRES 1066', '109 HRES 656']","['113 HR 15', '113 S 744', '114 HR 3667', '112 HR 4271', '113 HR 3155', '112 HR 4982', '112 S 1848', '112 HR 2829', '112 S 2338', '112 HR 4221']","['115 S 3388', '115 HR 6898', '117 HR 599', '117 HR 599', '116 S 4506', '117 SRES 26', '117 SRES 26', '113 HR 4496', '115 HRES 1066', '109 HRES 656']"
8,Upton âvoted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditionsâ,https://www.politifact.com/factchecks/2020/oct/28/jon-hoadley/upton-voted-dozen-times-support-repealing-affordab/,Upton voted a dozen times to kick thousands of Michigan families off their health insurance and eliminate protections for preexisting conditions,"['111 HR 3590', '112 HCONRES 34', '112 HCONRES 112', '113 HCONRES 25', '113 HCONRES 96', '114 HCONRES 27', '114 SCONRES 11', '116 HRES 271']",no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,no_bill_found,"['116 HR 4159', '115 HR 5155', '111 HR 1558', '115 S 3388', '113 HR 5328', '110 HR 2833', '110 HR 2833', '115 HR 628', '111 S 623', '114 HR 596']","['112 HR 3630', '108 S 1050', '113 HR 15', '113 HR 4304', '109 HR 4', '108 S 14', '113 S 696', '111 HR 3962', '113 S 744', '113 HR 4034']","['116 HR 4159', '115 S 3388', '115 HR 5155', '115 HR 6898', '116 HR 692', '117 HR 892', '114 HR 596', '113 HR 5328', '115 HR 628', '115 HR 6496']"
9,Abigail Spanberger and other Democrats âvoted to spend public funds on their political campaigns; up to $5 million...â,https://www.politifact.com/factchecks/2020/oct/20/nick-freitas/did-spanberger-other-house-democrats-vote-use-publ/,Abigail Spanberger voted to spend public funds on their political campaigns,['116 HR 1'],"['117 HR 5305', '117 HR 6119', '117 S 1301', '117 S 3846', '117 S 272', '117 HR 22', '117 HR 1620', '117 HR 3372', '117 HR 6448', '117 HR 2989']","['117 S 2796', '117 HR 1652', '117 HR 6448', '117 HR 5746', '117 HR 5314', '117 S 1064', '117 S 1301', '117 HR 6531', '117 HR 3233', '117 HR 4686']","['117 HR 22', '117 S 272', '117 HR 6531', '117 S 442', '117 HR 2617', '117 HRES 1224', '117 HCONRES 11', '117 HRES 1170', '117 HR 1652', '117 HR 1664']","['117 HR 22', '117 S 272', '117 HR 8873', '117 HR 5314', '117 HR 6531', '117 HR 8393', '117 HR 9640', '117 S 442', '117 HR 2911', '117 HR 1664']","['117 HR 6531', '117 HR 7693', '117 S 1301', '117 HR 2617', '117 HR 5314', '117 HR 4679', '117 HR 1204', '117 HR 1029', '117 HR 5434', '117 HR 3076']","['117 HR 22', '117 S 272', '117 S 442', '117 HCONRES 11', '117 HR 5315', '117 S 583', '117 HR 51', '117 HRES 1224', '117 HR 8393', '117 HR 2617']","['117 HR 5314', '117 S 583', '117 HR 8873', '117 HR 6119', '117 HR 8393', '117 HR 6617', '117 HR 4', '117 S 3905', '117 HR 4300', '117 HR 5746']","['117 S 272', '117 HR 22', '117 HR 5314', '117 HR 5746', '117 S 1301', '117 HR 7688', '117 S 1064', '117 HR 3684', '117 HR 1996', '117 HR 1']","['111 HR 4550', '116 HR 8360', '110 HR 1482', '111 HR 726', '109 HR 958', '113 HR 3586', '115 S 3398', '114 HR 3916', '112 HR 1024', '113 HR 3480']","['114 HR 5394', '108 S 1050', '113 HR 4304', '108 S 14', '109 HR 4', '112 HR 7', '113 S 1094', '111 HR 5745', '113 S 1660', '112 HR 12']","['116 HR 8360', '111 HR 4550', '115 S 3398', '114 HR 3916', '113 HR 3480', '112 HR 1024', '111 HR 6138', '111 HR 726', '110 HR 1482', '114 HR 153']"
